Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402971,Booster Juice,558811047,7.36,4.5,0.37,13.04,CASH,2022-08-26,18:39,0.81
402971,Booster Juice,559956711,20.54,4.5,1.03,28.33,CARD,2022-08-28,17:01,2.26
402971,Booster Juice,560232488,24.57,4.5,1.23,39.93,ONLINE,2022-08-29,10:34,2.7
402971,Booster Juice,563462501,36.8,0,1.84,48.67,ONLINE,2022-09-04,12:43,4.05
402971,Booster Juice,563502737,16.26,4.5,0.81,23.36,CARD,2022-09-04,13:47,1.79
402971,Booster Juice,563636517,26.69,4.5,1.33,35.46,ONLINE,2022-09-04,17:25,2.94
402971,Booster Juice,563975341,22.85,4.5,1.14,31,CARD,2022-09-05,13:09,2.51
402971,Booster Juice,564017388,23.68,4.5,1.18,35.16,ONLINE,2022-09-05,14:40,2.6
402971,Booster Juice,564770406,27.69,4.5,1.38,41.62,ONLINE,2022-09-07,10:36,3.05
402971,Booster Juice,565848942,12.74,4.5,0.64,19.28,ONLINE,2022-09-09,13:24,1.4
402971,Booster Juice,566430100,8.13,4.5,0.41,13.93,ONLINE,2022-09-10,12:48,0.89
402971,Booster Juice,569893749,32.18,4.5,1.61,48.1,ONLINE,2022-09-17,13:44,3.54
402971,Booster Juice,571677525,7.36,4.5,0.37,13.43,ONLINE,2022-09-22,11:15,0.81
402971,Booster Juice,571771937,38.31,0,1.92,51.44,ONLINE,2022-09-21,14:03,4.21
402971,Booster Juice,573269667,37.9,0,1.9,50.57,ONLINE,2022-09-24,11:55,4.17
402971,Booster Juice,573367771,8.74,4.5,0.44,14.64,ONLINE,2022-09-24,15:09,0.96
402971,Booster Juice,573867328,22.08,4.5,1.1,34.93,ONLINE,2022-09-25,12:09,2.43
402971,Booster Juice,573989110,23.18,4.5,1.16,34.53,PayPal,2022-09-25,15:58,2.55
402971,Booster Juice,575093021,36.04,0,1.8,41.8,CARD,2022-09-28,10:46,3.96
402972,Boston Pizza,553995110,36.26,0,1.81,42.06,CARD,2022-08-17,18:04,3.99
402972,Boston Pizza,554065833,57.75,0,2.89,66.99,CARD,2022-08-17,21:12,6.35
402972,Boston Pizza,554289627,44.91,0,2.25,59.1,ONLINE,2022-08-18,12:14,4.94
402972,Boston Pizza,554562104,22.95,4.5,1.15,31.12,CARD,2022-08-18,20:35,2.52
402972,Boston Pizza,555076775,85.5,0,4.28,110.1,ONLINE,2022-08-19,17:34,9.41
402972,Boston Pizza,555106425,46.47,0,2.32,53.9,CARD,2022-08-19,19:12,5.11
402972,Boston Pizza,555112449,23.04,4.5,1.15,35.9,ONLINE,2022-08-19,18:18,2.53
402972,Boston Pizza,555629656,82.7,0,4.14,95.94,CARD,2022-08-20,15:35,9.1
402972,Boston Pizza,556311013,87.52,0,4.38,116.76,ONLINE,2022-08-21,17:59,9.63
402972,Boston Pizza,556322446,68.74,0,3.44,87.71,ONLINE,2022-08-21,18:09,7.56
402972,Boston Pizza,556388436,40.36,0,2.02,46.82,CARD,2022-08-21,20:37,4.44
402972,Boston Pizza,556391933,68.96,0,3.45,86.4,ONLINE,2022-08-21,20:45,7.59
402972,Boston Pizza,556765056,44.27,0,2.21,51.35,CARD,2022-08-22,18:07,4.87
402972,Boston Pizza,556775596,70.25,0,3.51,81.49,CARD,2022-08-22,18:43,7.73
402972,Boston Pizza,559274435,19.96,4.5,1,31.81,ONLINE,2022-08-27,20:33,2.2
402972,Boston Pizza,559365806,92.79,0,4.64,120.56,ONLINE,2022-08-27,17:15,10.21
402972,Boston Pizza,559427038,37.16,0,1.86,49.58,ONLINE,2022-08-27,19:05,4.09
402972,Boston Pizza,559457618,24.49,4.5,1.22,37.84,PayPal,2022-08-27,19:29,2.69
402972,Boston Pizza,559461612,29.28,4.5,1.46,40.46,PayPal,2022-08-27,19:32,3.22
402972,Boston Pizza,560067348,44.27,0,2.21,53.92,ONLINE,2022-08-28,21:12,4.87
402972,Boston Pizza,560399844,35.98,0,1.8,41.74,ONLINE,2022-08-29,16:38,3.96
402972,Boston Pizza,560471606,20.48,4.5,1.02,28.25,CARD,2022-08-29,19:23,2.25
402972,Boston Pizza,560839001,36.46,0,1.82,48.63,ONLINE,2022-08-30,16:20,4.01
402972,Boston Pizza,560890640,35.28,0,1.76,48.92,ONLINE,2022-08-30,18:22,3.88
402972,Boston Pizza,560905884,51.86,0,2.59,66.17,ONLINE,2022-08-30,19:00,5.7
402972,Boston Pizza,561364281,65.57,0,3.28,84.06,ONLINE,2022-08-31,18:31,7.21
402972,Boston Pizza,561414959,36.47,0,1.82,46.53,ONLINE,2022-08-31,20:59,4.01
402972,Boston Pizza,561648568,73.46,0,3.67,85.21,CARD,2022-09-01,11:45,8.08
402972,Boston Pizza,561796682,25.98,4.5,1.3,34.64,CARD,2022-09-01,16:47,2.86
402972,Boston Pizza,561912981,16.99,4.5,0.85,26.63,ONLINE,2022-09-01,21:05,1.87
402972,Boston Pizza,562445553,44.96,0,2.25,52.16,CARD,2022-09-02,18:07,4.95
402972,Boston Pizza,562484314,41.57,0,2.08,53.22,PayPal,2022-09-02,19:12,4.57
402972,Boston Pizza,562488299,36.76,0,1.84,42.64,ONLINE,2022-09-02,19:27,4.04
402972,Boston Pizza,563038487,73.55,0,3.68,88.73,ONLINE,2022-09-03,17:58,8.09
402972,Boston Pizza,563626135,50.34,0,2.52,67.16,ONLINE,2022-09-04,17:14,5.54
402972,Boston Pizza,563650338,19.29,4.5,0.96,26.87,CARD,2022-09-04,17:51,2.12
402972,Boston Pizza,564984118,43.94,0,2.2,50.97,CARD,2022-09-07,18:08,4.83
402972,Boston Pizza,565266531,109.4,0,5.47,147.2,ONLINE,2022-09-08,12:19,12.03
402972,Boston Pizza,565989252,37.87,0,1.89,43.93,CARD,2022-09-09,17:19,4.17
402972,Boston Pizza,566001764,63.04,0,3.15,84.09,ONLINE,2022-09-09,17:50,6.93
402972,Boston Pizza,566003174,69.2,0,3.46,80.27,CARD,2022-09-09,17:38,7.61
402972,Boston Pizza,566010922,75.81,0,3.79,99.37,ONLINE,2022-09-09,18:04,8.34
402972,Boston Pizza,566614993,58.46,0,2.92,67.81,CARD,2022-09-10,17:36,6.43
402972,Boston Pizza,566629639,48.75,0,2.44,63.9,ONLINE,2022-09-10,18:12,5.36
402972,Boston Pizza,567621100,39.96,0,2,51.46,ONLINE,2022-09-12,20:08,4.4
402972,Boston Pizza,568434168,55.25,0,2.76,71.09,PayPal,2022-09-14,18:50,6.08
402972,Boston Pizza,568450713,64.08,0,3.2,91.43,ONLINE,2022-09-14,19:34,7.05
402972,Boston Pizza,568807973,24.48,4.5,1.22,32.89,CARD,2022-09-15,15:44,2.69
402972,Boston Pizza,569483408,67.51,0,3.38,88.5,ONLINE,2022-09-16,18:26,7.43
